story_id,character,source_text,situation,moral_conflict,broken_component,iks_principle,hope_message,distress_keywords,emotion_tags,distress_level,decision_taken,outcome,user_group,data_source
IKS_EXT_014,Bhishma,Mahabharata,handling jealousy and envy,integrity vs shortcut,Goals,dana,"Through dana, one can navigate handling jealousy and envy and restore inner balance.","confusion, integrity, shortcut",confusion,medium,Decided to apply dana to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_015,Kunti,Mahabharata,coping with aging,self-interest vs social good,Pathways,vairagya,"Through vairagya, one can navigate coping with aging and restore inner balance.","moral tension, self-interest, social good",moral tension,low,Decided to apply vairagya to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_016,Vidura,Mahabharata,feeling confused about career path,non-violence vs self-defense,Goals,vairagya,"Through vairagya, one can navigate feeling confused about career path and restore inner balance.","moral tension, non-violence, self-defense",moral tension,high,Decided to apply vairagya to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_017,Yudhisthira,Mahabharata,struggling with self-doubt,faith vs logic,Agency,tapas,"Through tapas, one can navigate struggling with self-doubt and restore inner balance.","helplessness, faith, logic",helplessness,high,Decided to apply tapas to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_018,Kunti,Mahabharata,facing betrayal by a friend,patience vs impulse,Agency,satya,"Through satya, one can navigate facing betrayal by a friend and restore inner balance.","moral tension, patience, impulse",moral tension,low,Decided to apply satya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_019,Vidura,Mahabharata,facing a loss of a loved one,patience vs impulse,Agency,vairagya,"Through vairagya, one can navigate facing a loss of a loved one and restore inner balance.","confusion, patience, impulse",confusion,high,Decided to apply vairagya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_020,Yudhisthira,Mahabharata,dealing with public humiliation,loyalty vs righteousness,Pathways,daya,"Through daya, one can navigate dealing with public humiliation and restore inner balance.","anger, loyalty, righteousness",anger,high,Decided to apply daya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_021,Kunti,Mahabharata,dealing with unrequited efforts,truth vs convenience,Goals,shanti,"Through shanti, one can navigate dealing with unrequited efforts and restore inner balance.","frustration, truth, convenience",frustration,high,Decided to apply shanti to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_022,Arjuna,Mahabharata,experiencing a crisis of faith,duty vs personal gain,Pathways,shanti,"Through shanti, one can navigate experiencing a crisis of faith and restore inner balance.","despair, duty, personal gain",despair,medium,Decided to apply shanti to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_023,Kunti,Mahabharata,struggling with addiction or bad habits,hard work vs luck,Goals,karma yoga,"Through karma yoga, one can navigate struggling with addiction or bad habits and restore inner balance.","anger, hard work, luck",anger,low,Decided to apply karma yoga to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_024,Bhishma,Mahabharata,dealing with public humiliation,non-violence vs self-defense,Agency,daya,"Through daya, one can navigate dealing with public humiliation and restore inner balance.","anger, non-violence, self-defense",anger,low,Decided to apply daya to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_025,Draupadi,Mahabharata,feeling lonely in a crowd,attachment vs detachment,Pathways,daya,"Through daya, one can navigate feeling lonely in a crowd and restore inner balance.","frustration, attachment, detachment",frustration,high,Decided to apply daya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_026,Arjuna,Mahabharata,managing family conflicts,attachment vs detachment,Goals,dharma,"Through dharma, one can navigate managing family conflicts and restore inner balance.","confusion, attachment, detachment",confusion,high,Decided to apply dharma to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_027,Yudhisthira,Mahabharata,dealing with financial debt,loyalty vs righteousness,Pathways,ahimsa,"Through ahimsa, one can navigate dealing with financial debt and restore inner balance.","grief, loyalty, righteousness",grief,high,Decided to apply ahimsa to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_028,Yudhisthira,Mahabharata,managing family conflicts,hard work vs luck,Pathways,kshama,"Through kshama, one can navigate managing family conflicts and restore inner balance.","fear, hard work, luck",fear,high,Decided to apply kshama to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_029,Arjuna,Mahabharata,overcoming fear of death,faith vs logic,Agency,shanti,"Through shanti, one can navigate overcoming fear of death and restore inner balance.","sadness, faith, logic",sadness,high,Decided to apply shanti to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_030,Yudhisthira,Mahabharata,dealing with professional failure,ambition vs contentment,Pathways,karma yoga,"Through karma yoga, one can navigate dealing with professional failure and restore inner balance.","anxiety, ambition, contentment",anxiety,high,Decided to apply karma yoga to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_031,Karna,Mahabharata,dealing with unrequited efforts,patience vs impulse,Agency,ahimsa,"Through ahimsa, one can navigate dealing with unrequited efforts and restore inner balance.","confusion, patience, impulse",confusion,high,Decided to apply ahimsa to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_032,Arjuna,Mahabharata,balancing personal growth with social duty,integrity vs shortcut,Goals,vairagya,"Through vairagya, one can navigate balancing personal growth with social duty and restore inner balance.","grief, integrity, shortcut",grief,low,Decided to apply vairagya to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_033,Draupadi,Mahabharata,coping with aging,patience vs impulse,Goals,vairagya,"Through vairagya, one can navigate coping with aging and restore inner balance.","anxiety, patience, impulse",anxiety,high,Decided to apply vairagya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_034,Karna,Mahabharata,overcoming fear of death,tradition vs innovation,Agency,kshama,"Through kshama, one can navigate overcoming fear of death and restore inner balance.","anger, tradition, innovation",anger,medium,Decided to apply kshama to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_035,Yudhisthira,Mahabharata,overcoming traumatic past,mercy vs justice,Agency,shanti,"Through shanti, one can navigate overcoming traumatic past and restore inner balance.","frustration, mercy, justice",frustration,high,Decided to apply shanti to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_036,Draupadi,Mahabharata,struggling with addiction or bad habits,patience vs impulse,Agency,kshama,"Through kshama, one can navigate struggling with addiction or bad habits and restore inner balance.","despair, patience, impulse",despair,low,Decided to apply kshama to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_037,Drona,Mahabharata,facing ethical corruption in workplace,attachment vs detachment,Agency,satya,"Through satya, one can navigate facing ethical corruption in workplace and restore inner balance.","grief, attachment, detachment",grief,high,Decided to apply satya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_038,Kunti,Mahabharata,facing ethical corruption in workplace,patience vs impulse,Agency,viveka,"Through viveka, one can navigate facing ethical corruption in workplace and restore inner balance.","sadness, patience, impulse",sadness,medium,Decided to apply viveka to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_039,Karna,Mahabharata,feeling confused about career path,forgiveness vs anger,Goals,tapas,"Through tapas, one can navigate feeling confused about career path and restore inner balance.","helplessness, forgiveness, anger",helplessness,high,Decided to apply tapas to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_040,Kunti,Mahabharata,dealing with anger and revenge,fear vs courage,Agency,kshama,"Through kshama, one can navigate dealing with anger and revenge and restore inner balance.","anger, fear, courage",anger,high,Decided to apply kshama to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_041,Kunti,Mahabharata,facing community isolation,non-violence vs self-defense,Goals,tapas,"Through tapas, one can navigate facing community isolation and restore inner balance.","despair, non-violence, self-defense",despair,high,Decided to apply tapas to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_042,Karna,Mahabharata,coping with aging,duty vs personal gain,Pathways,dana,"Through dana, one can navigate coping with aging and restore inner balance.","despair, duty, personal gain",despair,high,Decided to apply dana to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_043,Karna,Mahabharata,managing family conflicts,faith vs logic,Goals,vairagya,"Through vairagya, one can navigate managing family conflicts and restore inner balance.","helplessness, faith, logic",helplessness,medium,Decided to apply vairagya to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_044,Yudhisthira,Mahabharata,feeling lonely in a crowd,forgiveness vs anger,Pathways,tapas,"Through tapas, one can navigate feeling lonely in a crowd and restore inner balance.","anxiety, forgiveness, anger",anxiety,low,Decided to apply tapas to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_045,Draupadi,Mahabharata,struggling with self-doubt,fear vs courage,Agency,ahimsa,"Through ahimsa, one can navigate struggling with self-doubt and restore inner balance.","helplessness, fear, courage",helplessness,medium,Decided to apply ahimsa to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_046,Bhishma,Mahabharata,coping with aging,loyalty vs righteousness,Goals,shanti,"Through shanti, one can navigate coping with aging and restore inner balance.","despair, loyalty, righteousness",despair,medium,Decided to apply shanti to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_047,Yudhisthira,Mahabharata,facing a loss of a loved one,attachment vs detachment,Agency,viveka,"Through viveka, one can navigate facing a loss of a loved one and restore inner balance.","grief, attachment, detachment",grief,low,Decided to apply viveka to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_048,Drona,Mahabharata,facing a loss of a loved one,tradition vs innovation,Agency,satya,"Through satya, one can navigate facing a loss of a loved one and restore inner balance.","confusion, tradition, innovation",confusion,high,Decided to apply satya to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_049,Drona,Mahabharata,balancing personal growth with social duty,ambition vs contentment,Pathways,bhakti,"Through bhakti, one can navigate balancing personal growth with social duty and restore inner balance.","grief, ambition, contentment",grief,high,Decided to apply bhakti to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_050,Kunti,Mahabharata,dealing with unrequited efforts,loyalty vs righteousness,Agency,daya,"Through daya, one can navigate dealing with unrequited efforts and restore inner balance.","moral tension, loyalty, righteousness",moral tension,high,Decided to apply daya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_051,Draupadi,Mahabharata,overcoming fear of death,mercy vs justice,Goals,ahimsa,"Through ahimsa, one can navigate overcoming fear of death and restore inner balance.","despair, mercy, justice",despair,low,Decided to apply ahimsa to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_052,Bhishma,Mahabharata,dealing with unrequited efforts,integrity vs shortcut,Pathways,dana,"Through dana, one can navigate dealing with unrequited efforts and restore inner balance.","fear, integrity, shortcut",fear,high,Decided to apply dana to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_053,Draupadi,Mahabharata,struggling with lack of resources,attachment vs detachment,Pathways,karma yoga,"Through karma yoga, one can navigate struggling with lack of resources and restore inner balance.","fear, attachment, detachment",fear,high,Decided to apply karma yoga to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_054,Arjuna,Mahabharata,dealing with anger and revenge,loyalty vs righteousness,Agency,bhakti,"Through bhakti, one can navigate dealing with anger and revenge and restore inner balance.","anger, loyalty, righteousness",anger,medium,Decided to apply bhakti to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_055,Kunti,Mahabharata,struggling with addiction or bad habits,loyalty vs righteousness,Agency,dana,"Through dana, one can navigate struggling with addiction or bad habits and restore inner balance.","sadness, loyalty, righteousness",sadness,medium,Decided to apply dana to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_056,Arjuna,Mahabharata,facing social discrimination,forgiveness vs anger,Agency,satya,"Through satya, one can navigate facing social discrimination and restore inner balance.","frustration, forgiveness, anger",frustration,medium,Decided to apply satya to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_057,Draupadi,Mahabharata,facing betrayal by a friend,mercy vs justice,Goals,dharma,"Through dharma, one can navigate facing betrayal by a friend and restore inner balance.","despair, mercy, justice",despair,medium,Decided to apply dharma to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_058,Drona,Mahabharata,feeling confused about career path,integrity vs shortcut,Goals,vairagya,"Through vairagya, one can navigate feeling confused about career path and restore inner balance.","grief, integrity, shortcut",grief,medium,Decided to apply vairagya to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_059,Draupadi,Mahabharata,overcoming traumatic past,ambition vs contentment,Goals,daya,"Through daya, one can navigate overcoming traumatic past and restore inner balance.","confusion, ambition, contentment",confusion,medium,Decided to apply daya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_060,Karna,Mahabharata,overcoming procrastination,ambition vs contentment,Goals,shanti,"Through shanti, one can navigate overcoming procrastination and restore inner balance.","confusion, ambition, contentment",confusion,medium,Decided to apply shanti to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_061,Vidura,Mahabharata,experiencing a crisis of faith,self-interest vs social good,Pathways,kshama,"Through kshama, one can navigate experiencing a crisis of faith and restore inner balance.","confusion, self-interest, social good",confusion,high,Decided to apply kshama to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_062,Bhishma,Mahabharata,feeling confused about career path,patience vs impulse,Goals,dharma,"Through dharma, one can navigate feeling confused about career path and restore inner balance.","confusion, patience, impulse",confusion,medium,Decided to apply dharma to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_063,Draupadi,Mahabharata,seeking purpose in life,non-violence vs self-defense,Pathways,dana,"Through dana, one can navigate seeking purpose in life and restore inner balance.","moral tension, non-violence, self-defense",moral tension,high,Decided to apply dana to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_064,Kunti,Mahabharata,balancing personal growth with social duty,mercy vs justice,Goals,karma yoga,"Through karma yoga, one can navigate balancing personal growth with social duty and restore inner balance.","fear, mercy, justice",fear,low,Decided to apply karma yoga to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_065,Vidura,Mahabharata,coping with aging,ambition vs contentment,Pathways,daya,"Through daya, one can navigate coping with aging and restore inner balance.","fear, ambition, contentment",fear,high,Decided to apply daya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_066,Arjuna,Mahabharata,struggling with lack of resources,forgiveness vs anger,Pathways,dana,"Through dana, one can navigate struggling with lack of resources and restore inner balance.","helplessness, forgiveness, anger",helplessness,high,Decided to apply dana to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_067,Vidura,Mahabharata,struggling with poverty,non-violence vs self-defense,Agency,viveka,"Through viveka, one can navigate struggling with poverty and restore inner balance.","confusion, non-violence, self-defense",confusion,high,Decided to apply viveka to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_068,Karna,Mahabharata,struggling with self-doubt,non-violence vs self-defense,Goals,satya,"Through satya, one can navigate struggling with self-doubt and restore inner balance.","moral tension, non-violence, self-defense",moral tension,high,Decided to apply satya to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_069,Kunti,Mahabharata,balancing personal growth with social duty,ambition vs contentment,Agency,vairagya,"Through vairagya, one can navigate balancing personal growth with social duty and restore inner balance.","moral tension, ambition, contentment",moral tension,low,Decided to apply vairagya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_070,Arjuna,Mahabharata,facing injustice from authority,attachment vs detachment,Agency,kshama,"Through kshama, one can navigate facing injustice from authority and restore inner balance.","moral tension, attachment, detachment",moral tension,low,Decided to apply kshama to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_071,Draupadi,Mahabharata,struggling with lack of resources,ambition vs contentment,Agency,tapas,"Through tapas, one can navigate struggling with lack of resources and restore inner balance.","confusion, ambition, contentment",confusion,medium,Decided to apply tapas to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_072,Kunti,Mahabharata,handling success and ego,self-interest vs social good,Pathways,satya,"Through satya, one can navigate handling success and ego and restore inner balance.","despair, self-interest, social good",despair,low,Decided to apply satya to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_073,Bhishma,Mahabharata,dealing with public humiliation,ambition vs contentment,Pathways,karma yoga,"Through karma yoga, one can navigate dealing with public humiliation and restore inner balance.","sadness, ambition, contentment",sadness,high,Decided to apply karma yoga to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_074,Vidura,Mahabharata,dealing with physical illness,mercy vs justice,Agency,dana,"Through dana, one can navigate dealing with physical illness and restore inner balance.","frustration, mercy, justice",frustration,high,Decided to apply dana to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_075,Kunti,Mahabharata,feeling lonely in a crowd,patience vs impulse,Pathways,viveka,"Through viveka, one can navigate feeling lonely in a crowd and restore inner balance.","despair, patience, impulse",despair,medium,Decided to apply viveka to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_076,Vidura,Mahabharata,overcoming traumatic past,loyalty vs righteousness,Agency,shanti,"Through shanti, one can navigate overcoming traumatic past and restore inner balance.","moral tension, loyalty, righteousness",moral tension,high,Decided to apply shanti to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_077,Drona,Mahabharata,dealing with public humiliation,patience vs impulse,Pathways,bhakti,"Through bhakti, one can navigate dealing with public humiliation and restore inner balance.","sadness, patience, impulse",sadness,high,Decided to apply bhakti to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_078,Drona,Mahabharata,overcoming fear of death,tradition vs innovation,Pathways,ahimsa,"Through ahimsa, one can navigate overcoming fear of death and restore inner balance.","grief, tradition, innovation",grief,high,Decided to apply ahimsa to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_079,Drona,Mahabharata,facing exhaustion and burnout,faith vs logic,Agency,bhakti,"Through bhakti, one can navigate facing exhaustion and burnout and restore inner balance.","anxiety, faith, logic",anxiety,low,Decided to apply bhakti to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_080,Arjuna,Mahabharata,dealing with physical illness,faith vs logic,Goals,satya,"Through satya, one can navigate dealing with physical illness and restore inner balance.","frustration, faith, logic",frustration,high,Decided to apply satya to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_081,Bhishma,Mahabharata,overcoming traumatic past,faith vs logic,Agency,kshama,"Through kshama, one can navigate overcoming traumatic past and restore inner balance.","anger, faith, logic",anger,medium,Decided to apply kshama to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_082,Draupadi,Mahabharata,struggling with self-doubt,mercy vs justice,Goals,kshama,"Through kshama, one can navigate struggling with self-doubt and restore inner balance.","anxiety, mercy, justice",anxiety,high,Decided to apply kshama to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_083,Kunti,Mahabharata,facing betrayal by a friend,integrity vs shortcut,Pathways,dharma,"Through dharma, one can navigate facing betrayal by a friend and restore inner balance.","frustration, integrity, shortcut",frustration,low,Decided to apply dharma to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_084,Vidura,Mahabharata,feeling confused about career path,attachment vs detachment,Agency,satya,"Through satya, one can navigate feeling confused about career path and restore inner balance.","helplessness, attachment, detachment",helplessness,medium,Decided to apply satya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_085,Draupadi,Mahabharata,dealing with anger and revenge,loyalty vs righteousness,Agency,kshama,"Through kshama, one can navigate dealing with anger and revenge and restore inner balance.","frustration, loyalty, righteousness",frustration,low,Decided to apply kshama to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_086,Arjuna,Mahabharata,overcoming traumatic past,faith vs logic,Goals,dharma,"Through dharma, one can navigate overcoming traumatic past and restore inner balance.","despair, faith, logic",despair,high,Decided to apply dharma to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
